Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-284776,06co730,37.92599,-103.95176,12-Apr-06,pasture,<0.02,3.58,5.19,1.72,1.62,0.36,0.75,0.03,0.11,<1,6,664,0.9,0.13,0.3,38.5,5.1,17,<5,10.3,7.49,0.02,20.4,17,361,2.38,5.5,14.7,460,11.6,52.2,0.58,4.3,0.7,255,<0.1,5.3,0.4,2,46,0.4,11.1,42,0.4
C-284850,06co731,37.93994,-103.05099,12-Apr-06,idle,<0.02,5.93,3.93,2.55,2.07,0.94,0.84,0.02,0.24,<1,7,663,1.6,0.22,0.3,82.9,8.9,37,<5,18.8,13.5,0.05,40.1,28,432,1.16,11.3,18.8,720,20.9,91.4,0.66,8.2,1.6,218,<0.1,13.3,0.7,2.7,81,1,19.9,69,0.2
C-289995,06co732,37.92851,-108.7029,17-Sep-06,BLM,<0.02,3.83,0.51,1.2,1.31,0.4,0.56,0.03,0.18,<1,4,380,1,0.26,0.3,47.4,4.6,24,<5,12.1,7.85,0.02,23.3,21,388,1.05,5.4,10,330,16.2,56.6,0.5,4.6,0.9,77.5,<0.1,8.4,0.4,1.9,40,0.5,10.8,40,0.3
C-285128,06co733,37.87223,-108.33507,16-Sep-06,wildlife area,0.03,7.47,0.99,2.98,2.04,0.75,0.82,0.02,0.27,<1,9,637,2.2,0.33,0.5,70.6,9.4,53,8,22.8,18.1,0.05,37.7,40,518,2.55,9.8,23.5,810,30.9,102,1.11,11.1,1.8,223,<0.1,11.4,0.8,3,118,1.2,19.5,95,0.3
C-290024,06co734,37.89838,-107.7121,18-Jul-06,national forest,0.02,7.37,0.41,3.38,2.45,0.48,0.52,0.09,0.17,<1,20,669,1.5,0.36,0.2,55.4,10.2,73,14,26.7,15.6,0.06,28.4,23,918,2.33,5,18.8,"1,260",42.3,120,0.99,10,1.3,115,0.3,7.1,2.3,1.8,95,1.8,7.6,76,0.3
C-285153,06co735,37.87046,-106.93026,19-Jul-06,national forest,0.08,7.36,0.9,3.96,2.52,0.57,1.25,0.03,0.34,7,42,883,1.8,0.18,0.3,76.2,9.4,13,7,34.8,18.4,0.06,40.3,17,484,1.99,14.4,6,910,150,101,7.5,7.6,1.8,271,<0.1,11.6,1.3,4.1,96,2.9,15.6,131,0.3
C-284758,06co736,37.82179,-106.60513,14-Jul-06,national forest,0.03,5.56,2.09,2.74,2.04,0.57,1.23,0.06,0.28,<1,3,"1,020",1.4,0.16,0.3,60.8,10.6,17,<5,20.4,14.2,0.04,29.8,20,"1,280",0.96,9.7,9.1,"1,300",18.3,78.9,0.36,8.2,1.2,365,<0.1,6.1,0.3,1.6,73,0.6,14.9,136,0.2
C-289997,06co737,37.92256,-106.15314,14-Jul-06,pasture,<0.02,7.23,3.62,2.51,3.12,0.83,2.5,0.03,0.34,<1,5,"1,360",1.7,0.22,0.2,77.1,8.7,34,<5,19.9,16.9,0.03,44.1,19,811,0.98,9.1,14.9,"1,690",22.2,58.4,0.37,7.4,1.3,682,<0.1,8.5,0.3,2.3,75,0.7,17.1,68,<0.2
C-285004,06co738,37.90981,-104.88357,11-Apr-06,idle,0.02,6.44,2.06,3.46,2.29,0.71,1.49,0.04,0.33,<1,5,829,1.9,0.15,0.6,87,10.8,30,<5,25.5,15.8,0.06,44.5,25,833,2.55,15.5,18.7,"1,060",25.8,86.6,0.75,10.1,2.2,295,<0.1,10,0.6,2.6,96,0.8,28.8,93,0.9
C-292229,06co739,37.92292,-104.76808,11-Apr-06,pasture,<0.02,7.09,3.19,2.95,2.33,0.72,1.34,0.05,0.31,<1,7,802,2,0.23,0.5,79.3,10.9,37,<5,21,15.8,0.05,39.1,27,557,2.14,13.1,19.9,970,22.1,87.7,0.92,9.7,1.8,357,<0.1,11.4,0.6,2.7,100,1,23.8,90,0.7
C-285217,06co740,37.93966,-103.56504,12-Apr-06,idle,<0.02,5.28,5.5,2.19,2.19,0.7,0.84,0.04,0.23,<1,7,620,1.7,0.24,0.3,73.7,8.5,38,<5,16.2,13.1,0.05,38.7,25,439,1.4,12.9,17.9,810,30.7,89.9,0.75,7.8,1.5,307,<0.1,13.2,0.6,3,72,1.2,19.1,69,0.6
C-285195,06co741,37.88126,-103.19772,12-Apr-06,idle,<0.02,5.25,1.96,2.36,2.05,0.69,0.77,0.03,0.23,<1,8,592,1.8,0.22,0.4,76.2,8.7,31,<5,17.1,13.1,0.04,40.2,23,473,2.38,11.1,18.8,660,21.6,86.6,0.71,8,1.5,197,<0.1,12.5,0.6,2.7,74,1,19.6,63,0.5
C-285215,06co742,37.88071,-102.4104,8-Apr-06,pasture,<0.02,5.14,2.06,2.18,2.13,0.66,0.87,0.03,0.24,<1,7,711,1.7,0.23,0.3,80.5,8.2,38,<5,15.4,12.9,0.04,41.7,21,451,1.3,12,18.6,690,26.8,90.1,0.74,7.5,1.4,187,<0.1,13.9,0.6,3.1,64,1.2,19.6,57,0.4
C-284879,06co743,37.85336,-102.29191,8-Apr-06,open range,<0.02,5.57,2.98,2.12,2.26,0.68,0.93,0.03,0.23,<1,6,843,1.5,0.18,0.3,76.6,7.5,31,<5,15.6,11.7,0.04,37.9,23,451,1.44,10.1,16.8,810,19.8,86.7,0.62,6.7,1.4,230,<0.1,11.9,0.6,2.9,66,1,17.8,57,0.4
C-284745,06co744,37.7882,-108.78661,14-Sep-06,BLM,<0.02,3.76,0.59,1.44,1.52,0.51,0.48,0.02,0.15,<1,5,424,1,0.19,0.2,46.9,5.5,23,<5,11.6,8.44,0.04,23.9,23,457,0.52,5.3,10.9,260,16.7,66.4,0.54,5.2,0.9,71.5,<0.1,6.6,0.4,1.5,36,0.6,11.5,42,<0.2
C-285096,06co745,37.88068,-108.59465,17-Sep-06,BLM,<0.02,4.43,2.51,2.01,1.48,0.62,0.33,0.04,0.14,<1,11,354,1.4,0.32,0.2,53.8,6.3,31,<5,14.1,10.4,0.04,26,25,324,1.41,6.7,15.3,720,16.8,68.9,0.51,6.3,1.4,118,<0.1,10.1,0.3,2.1,49,0.6,14.3,58,0.3
C-290037,06co746,37.78034,-108.08923,16-Sep-06,national forest,0.03,6.39,4.1,2.54,1.71,0.89,0.47,0.07,0.17,<1,11,432,1.7,0.3,1.7,45,8.3,54,8,22.4,12.9,0.05,23.4,39,299,5.77,7.7,32.4,"1,130",19.9,91.9,1.55,8.1,1.6,180,<0.1,8.7,1.2,3,153,0.6,14.2,126,1.4
C-290055,06co747,37.83323,-107.88789,18-Jul-06,national forest,0.04,6.34,1.14,2.62,1.71,0.88,0.58,0.07,0.15,<1,13,485,1.6,0.33,4.4,51.8,9.3,47,7,26.6,12.9,0.05,26.9,39,448,8.1,6.3,33.7,"1,220",30.2,93.1,2.41,8.6,1.5,136,0.1,8.1,1.4,3.6,214,1.4,15.5,183,2
C-292430,06co748,37.85572,-107.15394,19-Jul-06,national forest,<0.02,7.78,1.24,2.08,3.36,0.4,2.31,0.03,0.24,<1,3,710,2.7,4.41,0.2,78.5,5.3,11,<5,19.3,16.4,0.04,44.6,22,650,1.58,16.8,5.3,760,25.2,123,0.36,6.6,1.9,274,<0.1,13.9,0.5,3.9,45,1.4,21.3,84,<0.2
C-285100,06co749,37.86727,-106.35132,14-Jul-06,BLM,<0.02,7.38,2.41,3.73,2.01,0.79,1.8,0.04,0.35,<1,4,"1,260",1.8,0.16,0.2,80.1,14.7,36,<5,22.9,17.7,0.05,38.9,19,"1,000",1.07,10.4,18,960,23.3,68.9,0.35,10.7,1.3,751,<0.1,8,0.3,1.9,94,0.7,19.1,89,<0.2
C-285007,06co750,37.75809,-105.50117,19-Jun-06,sand dunes,<0.02,7.81,2.3,2.05,2.89,0.36,2.54,0.02,0.21,<1,3,"1,030",1.9,0.04,0.1,63.1,5.5,11,<5,9,16.4,0.03,36.8,13,379,0.88,11.2,6.2,480,16.9,83.1,0.34,5.3,1.3,613,<0.1,9.9,0.4,2.5,49,0.7,15.8,41,<0.2
C-284843,06co751,37.8007,-105.08628,19-Jun-06,national forest,<0.02,6.73,2.26,3.28,2.29,0.81,1.69,0.03,0.33,<1,3,928,1.6,0.14,0.2,67.7,9.2,38,<5,14.3,14.8,0.04,33.9,16,646,1.3,10.5,14,970,18.5,68.9,0.39,10,1.5,371,<0.1,7.1,0.4,2.1,88,0.8,19.2,62,0.2
C-292268,06co752,37.80643,-104.4451,11-Apr-06,open range,<0.02,5.94,7.71,2.55,2.19,0.7,1.16,0.04,0.28,<1,6,680,1.6,0.18,0.3,67.4,9.3,36,<5,15.7,12.3,0.03,33.3,24,514,1.57,11.1,19.3,960,15.1,70.5,0.63,7.8,1.3,512,<0.1,9.1,0.4,2.3,81,0.7,20.2,61,0.3
C-292312,06co753,37.81823,-104.27131,11-Apr-06,pasture,<0.02,4.86,2.55,2.34,1.96,0.51,1.06,0.04,0.25,<1,5,643,1.4,0.19,0.4,64,6.7,27,<5,15.4,11.4,0.03,32.4,20,424,1.68,10.8,14.1,620,24.6,67.2,0.65,6.2,1.2,227,<0.1,8.7,0.4,2.1,66,2.1,19.5,72,0.4
C-290092,06co754,37.84832,-103.87663,12-Apr-06,open range,<0.02,6.78,6.62,2.64,2.26,0.93,0.69,0.03,0.22,<1,8,581,1.7,0.31,0.5,67.6,10.2,44,6,21.2,13.9,0.05,35.1,31,481,3.2,11.1,28.2,980,19.3,95.6,0.89,8.7,1.7,330,<0.1,11.2,0.9,3,102,0.8,18.4,91,1.4
C-290105,06co755,37.8239,-102.54743,30-Mar-06,open range,<0.02,3.94,1.84,1.61,1.97,0.31,0.67,0.02,0.11,<1,5,800,1,0.1,0.2,42,4.8,21,<5,8.2,7.56,<0.02,21.9,11,333,1.36,5,11.4,560,15.1,68.5,0.4,3.4,0.7,161,<0.1,6.6,0.4,1.6,35,0.4,10.5,36,0.2
C-290112,06co756,37.81628,-107.58018,18-Jul-06,national forest,0.06,6.59,0.87,4.19,3.54,0.95,0.88,0.16,0.3,3,21,787,1.9,1.25,3.5,63.9,11.7,15,11,144,15.3,0.21,32.2,44,"2,000",7.02,9.9,8,"1,480","1,480",186,4.09,9.8,1.6,186,0.5,9.1,3.1,2.4,107,3.5,12.7,778,0.7
C-285227,06co757,37.74063,-107.21737,19-Jul-06,national forest,<0.02,6.9,1.44,2.33,2.35,0.56,1.45,0.06,0.32,<1,4,749,1.7,0.22,0.3,59.5,7.3,30,6,24.1,14,0.04,31,25,982,1.28,11.1,9.6,"1,000",25.4,100,0.63,7.9,1.6,259,<0.1,11.6,0.5,3.3,59,1,18,88,0.2
C-284759,06co758,37.81876,-106.28188,14-Jul-06,open range,<0.02,6,5.3,2.46,2.96,0.68,1.7,0.04,0.23,<1,7,915,1.7,0.13,0.2,73.7,8,21,<5,15.3,13.9,0.04,38.8,24,675,1.16,10.7,11.6,850,19.9,93.5,0.62,7.6,1.5,351,<0.1,10.6,0.5,2.7,62,1.1,19.9,72,0.2
C-292367,06co759,37.80607,-105.82445,18-Jun-06,idle,<0.02,6.19,7.06,2.18,2.93,1.46,2.19,0.12,0.29,<1,5,839,2,0.16,0.2,74.6,8.3,20,<5,24.6,14,0.03,38,32,509,1.09,10.9,9.5,740,17.1,80.4,0.4,7.4,1.1,717,<0.1,9.2,0.4,2.3,75,1.1,20.7,57,<0.2
C-292403,06co760,37.81255,-105.26776,19-Jun-06,BLM,0.03,7.46,1.32,3.4,2.78,0.73,1.33,0.02,0.34,<1,3,"1,160",2.2,0.1,0.3,68.4,10.6,46,<5,27.4,15.5,0.04,35.1,23,615,0.69,11.1,22.3,"1,110",19.7,84.1,0.36,9.9,1.4,269,<0.1,7.8,0.4,3.4,87,0.7,23,73,0.3
C-284839,06co762,37.82259,-103.80161,12-Apr-06,pasture,<0.02,5.52,5.34,2.45,2.14,0.78,0.87,0.06,0.23,2,9,"1,610",1.6,0.22,0.5,78.5,8.9,35,<5,20.1,13.1,0.05,38.3,24,487,2.42,11.6,20.9,860,22.1,89.3,1.18,8.1,1.7,310,<0.1,11.4,0.7,2.9,88,0.9,20.1,73,<0.2
C-285095,06co763,37.82255,-103.73209,12-Apr-06,open range,<0.02,5.55,6.44,2.73,1.95,0.87,0.67,0.05,0.22,<1,10,639,1.8,0.26,0.6,71.6,10.3,39,5,20.2,14.1,0.05,36.3,27,524,2.73,11.2,24,840,20.2,93.1,0.92,9.4,1.7,296,<0.1,12.3,0.6,2.9,92,1,21.7,86,0.6
C-290000,06co764,37.79349,-103.40223,12-Apr-06,pasture,<0.02,2.75,1.72,1.31,0.75,0.24,0.34,0.03,0.14,<1,5,279,0.8,0.19,0.2,47.4,3.8,16,<5,9.2,6.34,0.02,24.3,15,220,1.31,5.5,9.2,400,13.7,34.2,0.46,3.7,0.9,110,<0.1,7.3,0.3,1.8,38,0.4,10.4,38,0.3
C-284712,06co765,37.80752,-103.2222,12-Apr-06,pasture,<0.02,3.15,1.21,1.71,1.18,0.35,0.44,0.02,0.15,<1,5,364,1.1,0.15,0.2,50.9,6,22,<5,10.8,7.83,0.03,25.3,17,350,0.92,6.3,11.6,350,13,48.4,0.49,5.2,1,125,<0.1,7.3,0.4,1.8,41,0.6,12.1,45,0.2
C-292456,06co766,37.84867,-103.0164,12-Apr-06,open range,<0.02,4.29,0.98,1.65,1.26,0.29,0.26,0.02,0.24,<1,4,316,1.6,0.16,0.2,71.2,10.2,36,<5,13.9,10.6,0.04,35,34,342,1,8.1,18,340,15.1,62.2,0.46,7.5,1.5,112,<0.1,10.3,0.4,2.9,54,0.6,16.1,46,0.2
C-292343,06co767,37.7743,-102.74773,30-Mar-06,open range,0.02,5.17,3.25,2.37,2.34,0.83,0.79,0.04,0.24,<1,8,663,1.8,0.25,0.5,70.9,9.3,35,<5,20.4,13.2,0.04,35.1,26,550,2.41,11.5,21.1,820,20.8,88.9,1.03,7.9,1.5,197,<0.1,12.1,0.6,2.6,80,1,21.8,71,0.6
C-284688,06co768,37.78896,-102.62912,30-Mar-06,open range,<0.02,4.33,2,2.1,1.76,0.47,0.62,0.03,0.18,<1,7,596,1.4,0.2,0.3,63.9,7.5,26,<5,12.9,10.8,0.04,32.1,23,392,1.12,7.3,15.7,480,20.8,72.2,0.56,6.6,1.2,161,<0.1,9.1,0.5,2.3,56,0.8,15.8,58,0.4
C-284717,06co769,37.77478,-102.11029,8-Apr-06,agriculture,<0.02,5.51,1.39,2.39,2.42,0.69,0.96,0.03,0.23,<1,6,757,1.6,0.22,0.3,86.9,8.1,34,<5,16,13,0.04,42.4,23,573,0.93,10.9,16.8,740,20.3,91.8,0.62,7.8,1.5,191,<0.1,13.9,0.6,2.4,67,1,20.2,68,0.3
C-290039,06co770,37.712,-108.82481,14-Sep-06,BLM,0.03,6.86,2.43,2.01,1.24,0.63,0.24,0.02,0.2,<1,7,524,2.3,0.25,0.2,58.9,7.3,27,5,10.5,14.4,0.05,32.1,39,205,0.82,9,16.2,290,18.6,67.1,0.57,7.6,1.6,101,<0.1,11.1,0.5,2.3,51,0.7,14.6,67,0.2
C-292313,06co771,37.7478,-108.36436,16-Sep-06,idle,<0.02,5.49,0.95,2.51,2.23,0.6,0.85,0.04,0.23,<1,6,554,1.5,0.21,0.7,58.1,9.3,39,6,25.3,12.4,0.03,29.1,37,498,2.23,7.9,19.6,850,18.9,93.8,0.77,7.9,1.2,167,<0.1,9.9,0.6,2.9,97,0.8,16.8,85,0.5
C-285161,06co772,37.72372,-108.24221,16-Sep-06,national forest,<0.02,5.06,0.56,2.14,1.92,0.65,0.66,0.01,0.19,<1,6,510,1.8,0.11,0.2,63.1,8.1,35,<5,18.1,11.5,0.03,31.9,28,646,0.49,6.6,16.3,580,18.1,78.7,0.47,7.6,1.2,119,<0.1,9,0.4,1.9,49,0.6,13,51,<0.2
C-292212,06co773,37.77983,-107.95597,18-Jul-06,national forest,0.03,6.39,1.15,3.01,2.01,0.89,0.86,0.08,0.27,<1,9,603,1.7,0.29,0.8,57.2,9.9,41,7,25.3,13.3,0.04,28.9,41,596,1.88,9.1,16.8,"1,140",31,93.5,0.95,10,1.6,226,<0.1,8.9,0.6,2.9,101,1.3,18.3,118,0.7
C-285097,06co774,37.78882,-107.12649,19-Jul-06,national forest,<0.02,6.89,1.42,2.88,3,0.37,1.73,0.03,0.29,<1,7,822,2,0.22,0.2,83.9,8.1,26,<5,14.3,16,0.04,42.9,19,643,1.53,15.1,11,710,25.3,112,0.71,7.9,1.9,290,<0.1,14.9,0.5,3.7,64,1.1,22.8,"1,150",<0.2
C-292321,06co775,37.76466,-107.01043,19-Jul-06,national forest,<0.02,6.69,1.78,3.98,2.67,0.52,1.99,0.03,0.48,<1,5,881,1.6,0.18,0.2,69.5,11.6,22,<5,18,16.2,0.04,35,23,903,1.59,15.1,10.2,770,21.5,77.6,0.61,7.8,1.5,377,<0.1,9.8,0.4,2.6,111,1.2,19.7,86,0.2
C-284954,06co776,37.77362,-106.57429,14-Jul-06,national forest,<0.02,7.3,1.46,3.21,2.71,0.57,1.52,0.03,0.4,<1,4,"1,010",1.9,0.19,0.2,103,12.2,22,<5,20.6,16.5,0.05,48.5,21,865,1.13,16.6,11,870,23.2,93,0.45,8.6,1.7,333,<0.1,12.6,0.4,3,80,1,20.9,89,<0.2
C-292454,06co777,37.79261,-106.37158,14-Jul-06,national forest,<0.02,7.73,2.12,5.07,2.61,1.91,1.83,0.03,0.52,<1,3,"1,020",1.7,0.09,0.2,76.8,22.8,119,<5,49.1,18.5,0.06,39.5,16,"1,170",0.89,9.6,58.1,"2,020",16.3,61.6,0.2,15.5,1.3,380,<0.1,4.8,0.2,1.2,162,0.5,18.5,91,<0.2
C-284966,06co778,37.74152,-105.50712,19-Jun-06,sand dunes,<0.02,8.11,2.1,2.71,2.87,0.42,2.46,0.02,0.28,<1,3,"1,080",1.8,0.12,0.1,82.3,8.1,22,<5,12.3,17.8,0.03,42.7,14,469,1,12.8,8.2,540,20.2,85.4,0.38,6.7,1.4,543,<0.1,10.9,0.4,2.6,73,0.7,18.9,62,<0.2
C-285141,06co779,37.78324,-105.18648,19-Jun-06,pasture,<0.02,5.72,1.6,2.56,2.54,0.68,1.28,0.03,0.23,<1,1,"1,030",1.6,0.07,0.2,54.1,8.5,29,<5,18.9,13.3,0.03,26.7,14,650,0.47,8.2,13.8,770,18.7,72.1,0.16,8.9,1,273,<0.1,5.5,0.3,1.6,63,0.5,17.4,56,0.2
C-289981,06co780,37.73929,-104.10227,11-Apr-06,open range,<0.02,4.28,20.8,1.91,1.18,0.56,0.49,0.08,0.18,<1,9,368,1.3,0.33,0.5,43.4,6.5,31,<5,22.6,8.99,0.03,22.6,19,292,6.96,6.5,26.4,600,14.4,57.3,0.79,6.4,1,650,<0.1,7.6,0.8,4,85,0.5,13.6,69,0.9
C-292237,06co781,37.68158,-108.82228,14-Sep-06,idle,<0.02,5.54,0.65,1.87,1.79,0.63,0.51,0.03,0.23,<1,6,484,1.7,0.2,0.2,56.9,6.3,31,<5,16.5,12,0.03,29.6,31,301,0.99,8.7,13.2,430,26.5,72.1,0.68,7.3,1.5,101,<0.1,9.4,0.5,2.3,50,1.1,16.7,61,0.2
C-284816,06co782,37.69753,-108.03033,18-Jul-06,national forest,0.32,5.14,0.66,3.95,1.95,0.82,0.76,0.17,0.18,35,38,656,2.1,14.6,20.2,68,11.9,53,6,464,14.4,1.23,39.4,32,"1,640",8.37,8.8,32.6,830,"3,600",90.9,22.8,8.5,62.9,138,4.3,8,0.9,2.9,62,5.5,24.1,"2,230",1
C-285158,06co783,37.73676,-107.69762,18-Jul-06,national forest,<0.02,4.98,0.38,1.68,2.13,0.22,1.35,0.01,0.16,<1,3,598,1.3,0.17,0.2,37.6,5,26,<5,17.7,12.4,0.03,18.6,17,779,0.5,6.8,7.7,320,21.2,86.7,0.31,4.1,1.1,84.9,<0.1,7.2,0.4,2.3,45,0.9,7.2,47,<0.2
C-284813,06co784,37.72626,-107.24908,19-Jul-06,national forest,<0.02,7.24,1.93,3.29,2.38,0.56,1.81,0.03,0.34,<1,6,874,1.7,0.09,0.2,79.8,10.6,17,7,16.4,17.5,0.04,39,19,760,1.53,12.9,10.7,"1,250",21,87.3,0.49,9.8,1.5,415,<0.1,9.9,0.5,2.9,79,0.9,20.6,83,<0.2
C-285076,06co785,37.72133,-106.41463,14-Jul-06,idle,<0.02,9.02,2.83,3.3,2.85,0.91,2.04,0.02,0.33,<1,4,"1,080",1.7,0.1,0.2,69.5,13.4,42,<5,18.2,17.1,0.04,39.2,16,825,1.07,11.6,19.8,940,19.8,95.5,0.45,9.1,1.3,709,<0.1,8.6,0.3,2.1,88,0.8,18,62,<0.2
C-284734,06co786,37.73619,-105.78886,18-Jun-06,state land,<0.02,7.69,3.58,1.73,3.7,0.46,2.73,0.02,0.19,<1,4,"1,130",2,0.1,0.1,73.7,4.3,8,<5,7.1,16.5,0.02,40.6,14,365,0.97,11.8,4.1,890,17.6,97.2,0.4,5.2,1.1,665,<0.1,10.7,0.4,2.9,39,0.9,20,38,<0.2
C-292330,06co787,37.66368,-105.69115,18-Jun-06,open range,<0.02,6.52,2.23,1.37,3.5,0.33,2.76,0.02,0.18,<1,3,"1,020",1.9,0.09,<0.1,59.7,3.7,7,<5,8.1,15.8,<0.02,34.1,14,269,0.87,11.4,4,580,16.7,82.9,0.44,4.4,0.8,439,<0.1,10.2,0.4,2.8,27,0.8,16.5,28,<0.2
C-292251,06co788,37.72585,-104.88453,11-Apr-06,open range,<0.02,7.27,2.05,2.99,2.37,0.58,1.75,0.05,0.35,<1,5,876,1.9,0.17,0.2,64.9,10.2,32,<5,20.1,16.3,0.04,32.3,19,440,1.01,10.9,14.3,660,19.4,75.1,0.52,8.9,1.5,393,<0.1,8.8,0.5,2.1,86,0.8,18.9,63,0.2
C-290010,06co789,37.7192,-104.82098,11-Apr-06,range,0.03,9.19,1.23,3.39,1.85,1.13,0.64,0.05,0.34,<1,11,661,2.5,0.51,0.3,70.9,13.2,75,10,38.3,20.9,0.07,37.4,71,413,1.33,11.6,33.9,"1,030",32.5,116,1.07,12.7,2.2,197,<0.1,12.8,0.9,4.2,186,1.4,19.5,150,1.2
C-285102,06co790,37.72952,-104.52654,11-Apr-06,pasture,<0.02,6.85,2.6,2.84,2.32,0.74,0.69,0.07,0.25,<1,8,619,2,0.33,0.7,66.5,8.2,44,6,20.2,16.1,0.06,33,36,365,3.26,12.5,23.5,820,28.3,93.7,0.78,9.5,2,261,<0.1,11.5,0.7,3.4,91,1,18.3,100,0.7
C-289937,06co791,37.76695,-104.43005,11-Apr-06,grassland,<0.02,6.48,5.31,2.56,2.39,0.7,1.28,0.04,0.31,<1,7,770,1.7,0.22,0.5,66.6,8.8,38,<5,21,14.6,0.05,34.2,21,472,2.96,11.6,21.2,830,24.4,86.7,0.75,8.9,1.4,316,<0.1,10.6,0.6,3,95,1.1,21.3,90,0.6
C-292490,06co792,37.73102,-103.784,12-Apr-06,open range,<0.02,4.12,15.9,1.9,1.54,0.52,0.7,0.04,0.18,<1,8,474,1.3,0.16,0.3,58.6,8.1,25,<5,13.9,9.02,0.04,31,18,673,1.17,10.1,15.7,800,13.4,61.2,0.73,5.4,1.1,582,<0.1,9,0.4,2.3,69,0.7,20.1,49,0.5
C-290068,06co793,37.6654,-102.54762,7-Apr-06,wildlife area,<0.02,5.56,2.91,2.09,1.94,0.74,0.68,0.03,0.18,<1,6,674,1.5,0.21,0.3,67.4,7.9,35,<5,15.6,12,0.04,34.7,23,401,1.24,10.4,17.1,800,18.6,87.3,0.63,7.2,1.4,180,<0.1,11.2,0.6,2.4,62,0.8,17,62,0.2
C-285009,06co794,37.68755,-102.38284,8-Apr-06,pasture,<0.02,4.05,1.88,1.63,2.15,0.39,0.74,0.02,0.15,<1,5,718,1.2,0.11,0.2,48.4,5.3,19,<5,13,9.12,0.02,25,14,361,1.2,7.3,13.2,570,17.5,76.4,0.5,4.1,1.2,180,<0.1,8.3,0.4,2,45,0.5,12.9,40,0.3
C-284894,06co795,37.68671,-102.21933,8-Apr-06,agriculture,<0.02,5.93,0.92,2.36,2.48,0.65,0.85,0.03,0.23,<1,6,745,1.5,0.26,0.5,91,9.7,39,<5,18.1,14.4,0.04,41.7,23,623,1.06,12.1,20.3,810,26.8,95.8,0.76,7.5,1.7,166,<0.1,14.6,0.7,2.4,72,1,19.4,88,0.3
C-284910,06co797,37.6322,-107.88419,18-Jul-06,national forest,<0.02,6.04,0.58,2.47,2.55,0.66,1.15,0.02,0.2,<1,5,622,1.5,0.19,0.2,83.2,8.7,39,<5,21.9,14.5,0.04,40.4,43,571,0.27,11.3,16.8,590,19.3,89.7,0.36,7.7,1.6,100,<0.1,10.4,0.5,2.1,48,0.6,13.6,68,<0.2
C-289938,06co798,37.72897,-106.99881,19-Jul-06,national forest,0.02,8,1.96,3.11,1.58,0.64,1.94,0.06,0.39,<1,14,883,2.1,0.29,0.4,68.6,10.4,22,17,23.7,18.1,0.07,35.8,28,988,1.4,9.7,9.5,"1,180",25.7,111,1.17,9.3,1.7,447,<0.1,10.2,0.7,4.1,90,0.8,18.8,100,0.2
C-290021,06co799,37.67619,-106.1099,14-Jul-06,agriculture,<0.02,8.01,1.75,4.93,2.73,0.46,2.01,0.04,0.42,<1,4,898,1.9,0.14,0.3,85.9,13.2,19,<5,14.9,18.2,0.05,45.7,16,816,1.52,14,9.3,"1,190",30.8,91.1,0.46,8.1,2,418,<0.1,11.6,0.5,3.8,129,0.8,23.3,116,<0.2
C-290174,06co800,37.67342,-104.16065,11-Apr-06,open range,<0.02,3.71,21.9,1.86,1.22,0.53,0.29,0.07,0.15,<1,12,278,1.1,0.24,0.6,38.6,6.7,38,<5,25.1,7.54,0.04,20,19,294,12.1,7.2,34.8,570,12,49.3,1.26,6.1,1.2,777,<0.1,6.9,0.9,5.3,119,0.6,15.9,61,1.3
C-290072,06co801,37.67405,-104.07745,11-Apr-06,open range,<0.02,6,6.28,2.42,2.01,0.68,1,0.03,0.23,<1,7,673,1.6,0.23,0.3,75.6,8.5,32,<5,14.9,12,0.04,38.8,20,429,2.35,10.2,17,760,19.7,81.9,0.73,7.2,1.3,328,<0.1,11.3,0.6,3,70,0.7,20,64,0.4
C-285196,06co802,37.67751,-103.62036,12-Apr-06,open range,<0.02,3.93,2.49,1.81,1.45,0.45,0.62,0.03,0.19,<1,7,463,1.4,0.22,0.3,61.9,6.2,23,<5,13.2,9.69,0.03,31.9,17,332,1.45,9.2,12.7,480,19.4,61.4,0.6,6,1.1,174,<0.1,9.6,0.4,2.3,57,0.8,14.7,49,0.4
C-292200,06co803,37.64398,-103.30595,12-Apr-06,pasture,<0.02,5.05,4.35,2.05,2.03,0.76,0.77,0.03,0.23,<1,7,731,1.6,0.2,0.4,68.8,7.5,28,<5,15.5,11,0.03,34.8,24,463,1.42,9.6,13.8,690,17,78.1,0.75,7.3,1.4,250,<0.1,10.4,0.5,3.2,67,0.9,21.3,60,0.3
