Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-284948,06co591,38.54452,-106.90218,21-Jul-06,wetlands,0.05,4.41,1.89,3.22,1.4,0.56,0.9,0.46,0.2,<1,5,678,1.1,0.22,0.6,59.1,25.6,22,<5,21.7,11.1,0.04,28.4,18,"2,130",1.02,6.8,12.3,"1,910",45.8,65.3,0.57,7.1,1.4,211,<0.1,8.4,0.4,3.6,64,3.6,13.7,125,0.6
C-290134,06co592,38.51142,-106.54404,21-Jul-06,BLM,0.02,6.19,0.78,2.6,2.71,0.56,1.31,0.05,0.25,<1,10,543,3.2,0.38,1.2,51.9,8.8,45,9,28.2,15.6,0.07,24.6,44,785,2.18,18.5,22.2,970,33,132,1.4,9.1,2.5,116,<0.1,10.4,0.8,2.9,95,1.9,18.1,121,0.5
C-284728,06co593,38.57861,-104.42271,16-Jun-06,pasture,<0.02,5.08,0.41,0.93,4.43,0.2,0.88,0.03,0.1,<1,2,992,1.8,0.09,0.2,71.7,2.6,10,<5,7.1,13.7,0.03,36.2,10,203,0.5,17.2,4.5,500,25.6,172,0.2,3.2,1.1,125,<0.1,10,0.8,1.6,21,0.6,19.1,42,<0.2
C-284953,06co594,38.54817,-103.91348,28-Mar-06,open range,<0.02,4.29,0.9,1.05,3,0.24,0.59,0.01,0.11,<1,3,701,1,0.09,0.1,55.6,3.4,19,<5,6.7,9.97,0.02,30.8,11,206,0.55,8.2,6.7,300,20.3,108,0.29,3,0.9,124,<0.1,10.7,0.6,1.6,31,0.4,12.4,31,<0.2
C-290064,06co595,38.53493,-103.76085,28-Mar-06,open range,<0.02,3.71,0.37,0.82,2.39,0.18,0.55,0.01,0.08,<1,2,718,0.9,0.07,0.1,50.6,2.9,14,<5,5,7.87,<0.02,26.1,8,198,0.38,7,5.3,330,18.7,98.8,0.2,2.1,0.6,104,<0.1,8.7,0.5,1.3,21,0.3,10.3,32,<0.2
C-292491,06co596,38.51681,-103.48591,28-Mar-06,pasture,0.02,6.58,1.19,2.9,2.59,0.74,0.74,0.03,0.19,<1,10,789,1.9,3.95,0.3,62.2,9.6,40,6,23,15,0.07,31.4,33,703,1.27,10.5,24,780,42.5,121,1.01,7.9,1.6,158,<0.1,11.2,0.7,2.6,100,1,17.2,97,1
C-285000,06co597,38.51292,-103.04373,26-Mar-06,farm,<0.02,5.6,1.34,2.37,2.48,0.66,0.66,0.02,0.19,<1,8,731,1.8,0.16,0.3,70.5,7.9,25,5,17.6,13.9,0.04,37.4,23,529,1.06,10.6,18.9,590,22.5,105,0.76,6.4,1.6,156,<0.1,13.1,0.7,2.7,70,0.9,18.1,63,0.3
C-292331,06co598,38.49855,-102.54758,26-Mar-06,farm,<0.02,3.5,0.33,0.76,2.82,0.15,0.81,0.02,0.1,<1,3,807,1,0.08,0.1,48.7,2.6,11,<5,5.3,8.46,<0.02,24.7,8,202,0.52,8.2,5.3,290,20.8,103,0.32,2.3,0.5,111,<0.1,8,0.6,1.5,24,0.4,10.9,24,0.2
C-292450,06co599,38.47047,-102.25868,29-Mar-06,farm,0.02,5.79,2.9,2.1,2.34,0.83,0.88,0.04,0.24,<1,7,700,2,0.18,0.4,72.1,8,36,<5,15.9,13.8,0.04,38.5,26,422,1.02,10.7,16.4,820,20.4,98,0.76,7.8,1.7,198,<0.1,12.8,0.6,2.6,69,1.3,21.1,62,0.4
C-284806,06co600,38.39593,-108.96223,13-Sep-06,BLM,<0.02,3.73,3.52,1.43,2.39,1.68,0.3,0.01,0.13,<1,6,458,1.1,0.13,0.2,44,7.2,49,<5,14,8.47,0.03,22.5,15,443,2.8,3.5,41.6,490,14.4,72,0.34,6.1,1,135,<0.1,6.6,0.4,1.7,38,0.5,12.6,35,0.2
C-290001,06co601,38.38625,-108.77763,13-Sep-06,BLM,<0.02,2.31,0.82,0.44,1.62,0.52,0.07,<0.01,0.05,<1,2,331,0.5,0.14,0.1,15.7,2.4,17,<5,8.1,4.8,<0.02,8.2,17,168,0.22,1.5,5.9,160,17.7,55,0.23,2,0.6,48.9,<0.1,3,0.4,4.4,37,0.2,3.8,20,<0.2
C-285208,06co602,38.41653,-108.3819,14-Sep-06,national forest,0.02,5.23,0.57,2.38,1.72,0.45,0.69,0.03,0.26,<1,7,781,1.9,0.23,0.3,76.4,7.8,29,<5,19,12.8,0.04,38.6,27,502,0.97,9.6,16.6,700,24.6,92,0.68,8.3,1.4,150,<0.1,10.2,0.5,2.7,74,0.9,19.8,80,0.3
C-289996,06co603,38.35379,-108.24431,14-Sep-06,national forest,0.02,4.66,0.49,1.41,1.32,0.32,0.58,0.03,0.23,<1,6,553,1,0.34,0.3,45.3,8.3,24,<5,15.2,8.92,0.03,22.9,30,624,0.84,7,9,430,20.3,61.4,0.5,4.8,1.1,125,<0.1,7.5,0.4,2.3,45,0.6,9.7,54,0.2
C-285080,06co604,38.48454,-106.08619,20-Jul-06,BLM,<0.02,6.52,1.46,2.8,2.55,0.74,2.12,0.02,0.2,<1,3,952,3.3,0.66,0.4,59.4,9.5,27,<5,45.1,16.5,0.08,29.7,11,870,1.04,14.8,12.5,510,29.9,73.6,0.27,10.1,2.2,181,0.4,8.2,0.3,2.9,43,1.2,25.3,120,<0.2
C-285055,06co605,38.47092,-105.86569,18-Jun-06,BLM,<0.02,6.87,0.94,4.21,3.05,0.97,2.23,<0.01,0.25,<1,2,956,5.1,0.1,0.3,132,7.2,38,<5,9.6,18.9,0.06,66,15,655,0.78,29.7,14.2,680,22,76.7,0.18,7.5,2.1,155,<0.1,16.5,0.3,3.2,83,0.8,23.1,48,<0.2
C-284960,06co606,38.47696,-105.43217,18-Jun-06,BLM,<0.02,6.8,1.41,3.99,2.7,0.62,1.7,0.02,0.34,<1,3,777,1.9,0.31,0.8,107,10.7,35,<5,20,16.9,0.07,51.8,22,652,0.94,14.5,15.3,990,47.3,105,0.37,10.4,2.3,222,<0.1,16.6,0.6,2.4,81,1.8,25.3,151,<0.2
C-285017,06co607,38.49546,-105.29834,18-Jun-06,idle,0.07,7.35,1.3,3.57,3.38,1.02,0.81,<0.01,0.31,<1,8,556,1.8,0.12,<0.1,253,12.9,20,<5,81.1,24.8,0.08,175,43,652,0.46,14.8,17.5,850,17.7,129,0.48,15.7,2,93.9,<0.1,40.6,0.6,3.4,79,4.7,55,74,<0.2
C-285120,06co608,38.48334,-104.96334,16-Jun-06,idle,0.02,4.04,2.83,2.15,1.39,0.54,0.47,0.05,0.17,<1,9,867,1.6,0.26,0.8,61.3,6.7,30,<5,14.5,9.58,0.06,30.6,22,370,1.7,8.4,17,500,44.1,59.5,0.77,6.4,1.4,176,0.1,9.6,0.4,2.2,59,1.2,15.6,180,0.4
C-284708,06co609,38.46443,-104.14826,17-Jun-06,open range,<0.02,4.36,0.51,1.09,3.49,0.2,0.74,0.02,0.12,<1,3,889,1.3,0.08,0.1,54.4,3.1,13,<5,5.7,10.7,0.02,28,10,207,0.44,8.8,5.8,270,20.3,130,0.26,3.3,0.8,131,<0.1,7.1,0.7,1.3,31,0.4,12.9,32,<0.2
C-284700,06co610,38.46704,-103.19648,29-Mar-06,pasture,<0.02,4.96,0.97,2.05,2.82,0.56,0.6,0.03,0.16,<1,8,762,1.6,0.18,0.3,67,6.9,27,<5,15.2,13,0.03,33.9,21,455,0.98,8.3,15.7,610,21.1,113,0.63,6.8,1.2,132,<0.1,10.3,0.7,1.8,62,0.8,17.6,58,0.4
C-292310,06co611,38.45477,-102.74255,29-Mar-06,pasture,<0.02,3.23,0.23,0.64,2.82,0.13,0.63,0.01,0.08,<1,3,761,0.8,0.07,<0.1,42.1,2.1,9,<5,4.6,7.36,<0.02,22.1,7,173,0.39,5.2,4.7,240,19.9,100,0.27,1.8,0.4,94.8,<0.1,7.1,0.5,1.2,20,0.3,8.6,20,0.2
C-285142,06co612,38.45724,-102.3669,29-Mar-06,farm,<0.02,5.62,3.88,2.17,1.92,0.85,0.82,0.03,0.24,<1,8,673,1.9,0.19,0.3,77.5,8,33,<5,16.4,13.5,0.04,41.2,26,408,1.05,10.6,16.3,750,22.2,78.5,0.69,8,1.5,204,<0.1,13.3,0.6,2.7,71,1.1,18.7,61,0.4
C-292392,06co613,38.39546,-107.4763,19-Jul-06,wetlands,0.02,6.16,2.65,2.78,1.98,0.91,1.15,0.09,0.26,<1,5,632,1.6,0.24,0.3,57.5,10.6,44,5,24.2,12.9,0.04,30.6,27,825,0.96,9.6,18.4,"1,220",22.1,86,0.65,8.6,1.4,351,<0.1,9.4,0.5,3,88,1.2,16.7,88,1.6
C-284887,06co614,38.42572,-107.23997,19-Jul-06,BLM,<0.02,5.88,1.02,3.8,2.4,0.41,1.3,0.02,0.3,<1,5,"1,070",1.4,0.25,0.4,102,13.8,25,<5,19.1,15.8,0.04,42,20,"2,090",1.72,12.2,12.5,480,35,84.3,0.54,6.5,1.7,255,<0.1,13.1,0.7,2.7,103,1.3,17.8,97,<0.2
C-285115,06co615,38.44859,-106.92504,20-Jul-06,BLM,<0.02,5.86,4.62,2.88,2.26,1.04,1.88,0.07,0.19,<1,8,879,2,0.14,0.3,73.4,7.9,35,<5,18.5,14.3,0.06,32.7,28,800,1.44,7.9,13.2,"1,140",12.5,68.7,0.6,10.2,1.3,306,<0.1,6.3,0.3,2.2,55,0.8,26.6,84,0.5
C-292325,06co616,38.42475,-106.76096,20-Jul-06,BLM,<0.02,6.52,3.23,8.86,1.63,1.65,2.2,0.02,1.21,<1,8,651,1.8,0.15,0.2,73.5,28.7,17,7,30.1,19,0.1,33.7,22,"1,630",1,14.2,15.5,"1,880",12.7,48,1.01,30.5,1.6,244,<0.1,5.1,0.2,1.7,264,1.1,50.9,117,0.2
C-284705,06co617,38.43204,-106.5366,20-Jul-06,idle,0.03,6.28,0.93,2.84,2.31,0.79,0.84,0.07,0.2,<1,7,526,2.4,0.44,1.7,62.1,9.1,57,7,33.8,16,0.07,31.5,44,444,1.57,10.3,28.2,"1,150",38.4,119,1.23,11,1.9,130,<0.1,10.9,1,8,141,1.5,18.6,233,1
